tag,category,aliases,zh,count,notes
hatsune_miku,4,Miku|hatsumemiku|hatsunemiku|hatsunemikuart|miku|miku_hatsune|mikuhatsune|mikumonday|vocaloid_miku|初音|初音ミク|葱娘,初音未来,143963,VOCALOID 虚拟歌姬，Crypton Future Media 出品
hakurei_reimu,4,博丽霊梦|灵梦|红白|霊梦|青霊梦,博丽灵梦,99664,《东方Project》的主角，博丽神社的巫女
kirisame_marisa,4,Marisa|marisa|莎莎|魔理沙,雾雨魔理沙,86591,《东方Project》的主角之一，普通魔法使
flandre_scarlet,4,二小姐|芙兰|芙兰朵露,芙兰朵露·斯卡雷特,62433,《东方Project》中红魔馆的吸血鬼妹妹
remilia_scarlet,4,大小姐|蕾咪|蕾米莉亚,蕾米莉亚·斯卡雷特,61824,《东方Project》中的吸血鬼，红魔馆主人
izayoi_sakuya,4,咲夜|女仆长,十六夜咲夜,52913,《东方Project》红魔馆的女仆长，操控时间
artoria_pendragon_(fate),4,altria_pendragon_(fate)|artoria_pendragon_(all)|亚瑟王|阿尔托莉亚.潘德拉刚|阿尔托莉亚·潘德拉贡|阿尔托莉雅|阿尔托莉雅·潘德拉贡|骑士王,阿尔托莉雅·潘德拉贡（Fate系列）,46018,《Fate》系列的看板角色，拔出圣剑的骑士王
komeiji_koishi,4,koishi_komeiji|古明地こいし|恋恋,古明地恋,44827,《东方Project》中古明地觉的妹妹，能操纵无意识
kochiya_sanae,4,kotiya_sanae|东风谷サナエ|早苗,东风谷早苗,40956,《东方Project》的现人神巫女，守矢神社的风祝
konpaku_youmu,4,妖梦,魂魄妖梦,40730,《东方Project》中白玉楼的庭师，半人半灵
cirno,4,⑨|笨蛋,琪露诺,40380,《东方Project》中的冰之妖精
alice_margatroid,4,爱丽丝|爱丽丝·玛格特洛依德|爱丽丝·玛格特罗依德,爱丽丝·玛格特罗伊德,39758,《东方Project》中的七色人形师，魔法森林的居民
admiral_(kancolle),4,admiral_(kantai_collection)|teitoku_(kantai_collection)|司令官|提督,提督（舰队Collection）,38988,《舰队Collection》的玩家角色，此标签限男性提督
patchouli_knowledge,4,姆Q|帕秋莉|香草,帕秋莉·诺蕾姬,38600,《东方Project》中红魔馆的大图书馆魔女
sensei_(blue_archive),4,sensei|先生|老师,老师（蔚蓝档案）,38545,《蔚蓝档案》的玩家角色，奇普托斯的教师
yakumo_yukari,4,紫,八云紫,38253,《东方Project》中操纵境界的妖怪，幻想乡的贤者
shameimaru_aya,4,射命丸アヤ|文,射命丸文,34081,《东方Project》的天狗记者，发行文文新闻
reisen_udongein_inaba,4,优昙华|铃仙,铃仙·优昙华院·因幡,31086,《东方Project》中的月兔，永远亭的居民
komeiji_satori,4,古明地さとり|小五|觉,古明地觉,30837,《东方Project》中地灵殿的主人，能够读心的妖怪
fujiwara_no_mokou,4,fujiwara_mokou|huziwara_no_mokou|妹红,藤原妹红,30540,《东方Project》中不死的人类
akemi_homura,4,akemihomura|homura|homura_akemi|homurakemi|moemura|曉美焰|焰,晓美焰,29732,《魔法少女小圆》的主要角色，时间溯行者
kaname_madoka,4,kanamemadoka|madoka|madoka_kaname|madokakaname|圆神|小圆|鹿目圆香,鹿目圆,29627,《魔法少女小圆》的主角，温柔的中学生
hong_meiling,4,ex-meiling|中国|美铃,红美铃,28027,《东方Project》中红魔馆的门卫
saigyouji_yuyuko,4,幽幽子,西行寺幽幽子,27922,《东方Project》中白玉楼的亡灵公主
