tag,category,aliases,zh,count,notes
original,3,original_art|original_character|originalart|originalcharacter|originaldesign|原创人设|原创插画|原画|看板息子|自创|自家孩子,原创,1563278,画师自创的角色或作品，不属于任何已有的版权作品
touhou,3,Touhou Project|toho|touhou_project|touhouproject|东方|东方紧缚画,东方Project,1088705,ZUN制作的弹幕射击游戏系列，以少女角色与符卡弹幕为特色
kantai_collection,3,kancolle|kankore|kantaicollection|舰娘|舰队收藏,舰队Collection,542507,C2机关开发、DMM发行的舰娘题材网页游戏
blue_archive,3,bluearchive|碧蓝档案|蔚蓝档案,蔚蓝档案,445669,Nexon Games开发的韩国手机抽卡角色扮演游戏，舞台是学园都市基沃托斯
fate_(series),3,Fate|fate|フェイト,Fate系列,405835,Type-Moon的多媒体企划，历史与神话人物作为从者参加圣杯战争
pokemon,3,pokemon_fanart|pokemonart|pokemonfanart|pokemonnsfw|pokesona|口袋妖怪|宝可梦图鉴|神奇宝贝|精灵宝可梦,宝可梦,405539,田尻智等开发、任天堂发行的多媒体企划，核心为宝可梦系列游戏与动画
hololive,3,Hololive|hololewd|ホロライブ,hololive,325133,Cover旗下的女性虚拟主播事务所，拥有多期生与海外分部
genshin_impact,3,genshin|genshinfanart|genshinimpact|genshinimpactfanart|genshintwt|原尻|原神同人,原神,310762,米哈游2020年推出的开放世界动作角色扮演游戏，舞台是提瓦特大陆
fate/grand_order,3,FGO|Fate/Grand Order|fate/go|fate/grandorder|fatego|fategrandorder|fgo|命运/冠位指定|命运冠位指定,命运-冠位指定,303900,Type-Moon的《Fate》系列手机抽卡RPG，玩家作为御主召唤从者
idolmaster,3,idol_master|the_idolmaster|アイドルマスター|爱马仕,偶像大师,284587,万代南梦宫的偶像养成游戏系列，2005年从街机起步
umamusume,3,uma|uma_musume|umamusumeprettyderby|优骏少女|闪耀!优俊少女|闪耀优俊少女|闪耀！优俊少女|马娘,赛马娘,228826,Cygames的手机游戏，将日本名马拟人化为赛马娘，并有动画等衍生作品
arknights,3,arknightsen|arknightsfanart|mingri_fangzhou|明日方舟乙女向|明日方舟同人|明日方舟画师周榜|明日方舟绘画,明日方舟,225737,鹰角网络的塔防手机游戏，以源石与感染者纷争的世界为舞台
vocaloid,3,vocaloid_2|vocaloid_3|亜种|博歌乐|术力口,VOCALOID,207032,雅马哈的歌声合成软件，也指围绕其声库角色形成的创作文化
honkai_(series),3,honkai|崩坏系列|崩壊|逆熵,崩坏,186731,米哈游开发的手机游戏系列，共享崩坏世界观
azur_lane,3,azurlane|bilan_hangxian,碧蓝航线,156332,国产舰船拟人手游，由蛮啾与勇仕开发、悠星发行
idolmaster_cinderella_girls,3,cinderella_girls|デレマス|灰姑娘女孩,偶像大师 灰姑娘女孩,136119,偶像大师的手机社交游戏分支，以灰姑娘企划偶像为主
honkai:_star_rail,3,honkai_starrail|honkaistarrail|starrail|崩坏:星穹铁道|崩坏星穹铁道|星穹铁道|星铁,崩坏：星穹铁道,132341,米哈游的回合制角色扮演游戏，2023年上线，崩坏系列衍生作
love_live!,3,LoveLive|lovelive|lovelivefest|ラブライブ,Love Live!,128197,Bushiroad与Sunrise合作的跨媒体企划，讲述少女们以学园偶像身份参赛
fire_emblem,3,fireemblem|圣火降魔录|火焰之纹章|火焰纹章,火焰之纹章,124416,Intelligent Systems开发、任天堂发行的奇幻战棋RPG系列
hololive_english,3,Hololive EN|holocouncil|holoen|hololiveen|hololiveenglish|hololivemyth,Hololive English,112964,hololive的英语分部，2020年成立，含Myth等组合
zenless_zone_zero,3,zenlesszonezero|zenlesszonezerofanart|zenzero|zzz_(game)|zzzenless|zzzero|zzzeroillustration,绝区零,109918,米哈游的动作角色扮演游戏，2024年发行，舞台为新艾利都
final_fantasy,3,FF|太空战士,最终幻想,107515,史克威尔艾尼克斯的角色扮演游戏系列，1987年首作问世
nijisanji,3,NIJISANJI|nijiart|nijihub|nijilewd|にじさんじ|二次三次,彩虹社,90339,ANYCOLOR运营的虚拟主播事务所，2018年开始活动，旗下分多个期生与海外分部
indie_virtual_youtuber,3,个人势|完全个人势|独立虚拟主播,个人势虚拟主播,86430,不隶属于企业或团体的独立虚拟主播
mahou_shoujo_madoka_magica,3,madoka_magica|madokamagica|puella_magi_madoka_magica|puellamagimadokamagica|魔圆|魔法少女小圆脸,魔法少女小圆,83970,以少女与丘比签约成为魔法少女为核心的魔法少女多媒体企划
girls'_frontline,3,dollsfrontline|gfl|girls'frontline|girls_frontline|girlsfrontline|少前|少女战线|少女戦线|戦术人形,少女前线,79383,MICA Team 开发的枪械拟人化手游，角色称为战术人形
girls_und_panzer,3,girlsundpanzer|少女战车,少女与战车,73352,以战车道竞技为主题的动画，描绘大洗女子学园的坦克对战，2012年播出
gundam,3,一年戦争|宇宙世纪|宇宙戦国时代|敢达|机动战士高达|钢弹|高達,高达,70535,富野由悠季与日升1979年开创的机器人动画多媒体企划，含众多系列
danganronpa_(series),3,dangan-ronpa|dangan_ronpa|danganronpa|danganronpafanart|ダンガンロンパ|枪弹辩驳,弹丸论破,68440,Spike Chunsoft 的推理冒险游戏系列，以自相残杀与学级裁判为核心
precure,3,pretty_cure|プリキュア|霹雳Q娃,光之美少女,68358,东映动画制作的魔法少女系列，少女变身传说战士守护地球
mahou_shoujo_madoka_magica_(anime),3,madokamagica|魔法少女小圆脸,魔法少女小圆（动画）,59898,2011年冬播出的电视动画，SHAFT制作、虚渊玄编剧，系列首作
kemono_friends,3,kemonofriends|けものフレンズ|动物朋友,兽娘动物园,58235,以虚构的加帕里公园为舞台的多媒体企划，动物被砂之星拟人化为兽娘
bang_dream!,3,Bang Dream|bandori|bang_dream|bangdream|bangdream!|邦多利,BanG Dream!,55423,武士道的多媒体企划，以女子乐队为主题，含手游与动画
jojo_no_kimyou_na_bouken,3,jojo|jojo's_bizarre_adventure|ジョジョの奇妙な冒険|乔乔的奇妙冒险,JOJO的奇妙冒险,54664,荒木飞吕彦的漫画，1987年起连载，由David Production动画化
wuthering_waves,3,wutheringwaves,鸣潮,54592,库洛游戏开发的开放世界动作RPG，2024年发行
one_piece,3,onepiece|onepieceredraw|海贼王|航海王,航海王,54440,尾田荣一郎的海贼冒险漫画，1997年开始连载，为史上销量最高的漫画
honkai_impact_3rd,3,honkai_impact3|honkaiimpact3|honkaiimpact3rd|崩坏3rd|崩坏三,崩坏3,53378,米哈游的3D动作手机游戏，崩坏学园的平行世界故事
granblue_fantasy,3,GBF|granbluefantasy|グラブル,碧蓝幻想,52924,Cygames的手机回合制角色扮演游戏，2014年起运营并推出动画等衍生作
persona,3,Persona|ペルソナ,女神异闻录,48459,Atlus开发的角色扮演游戏系列，为女神转生的衍生分支，以人格面具为特色
project_moon,3,projectmoon|projmoon|月亮计划,Project Moon,47681,韩国游戏公司，以《脑叶公司》为首创作同一世界观的多部作品
goddess_of_victory:_nikke,3,NIKKE|nikke|nikkefanart|nikkefanartcontest|project:nikke|project_nikke|thisisnikke|妮姬|胜利女神新的希望,胜利女神：妮姬,46349,韩国 Shift Up 开发、腾讯发行的第三人称射击手游，2022年上线
idolmaster_shiny_colors,3,imas_shine|shiny_colors|shinymas|シャニマス|偶像大师闪耀色彩|闪耀色彩,偶像大师 闪耀色彩,45712,以283 Production偶像为主的偶像大师网页游戏
